"Construct","Description","Examples","Function"
"Life Chapters","Major periods or phases of life","childhood, career phase, retirement, caregiving years","supports contextual interpretation of current events"
"Major Transitions","Turning points and disruptions","bereavement, migration, illness onset, retirement","supports sensitivity to recurring vulnerabilities and resilience patterns"
"Key Relationships","Important persons and social ties","spouse, children, friends, mentor, colleague","informs relational prompts and support priorities"
"Roles and Identities","Enduring self-definitions","parent, teacher, engineer, volunteer, believer","supports role continuity and contribution opportunities"
"Values and Beliefs","Moral, spiritual, and existential commitments","faith, service, independence, compassion","aligns prompts and interventions with personal meaning"
"Strengths and Skills","Capabilities and resources","mentoring, storytelling, teaching, organizing","supports contribution matching"
"Meaningful Places","Places of emotional or narrative significance","family home, workplace, temple, neighborhood park","supports memory prompts and place-based engagement"
"Rituals and Traditions","Recurrent meaningful practices","weekly worship, family dinners, anniversaries","supports temporal and spiritual grounding"
"Significant Memories","Events with autobiographical weight","marriage, awards, losses, milestones","supports story creation and identity continuity"
"Present Concerns","Current needs and stresses","loneliness, mobility limits, family conflict","supports adaptive intervention"
"Future Hopes","Forward-looking aims","legacy project, reconnecting with family, community service","supports future-oriented narrative continuity"
