Agent,Role,Inputs,Outputs,Domains
Narrative Agent,maintain autobiographical continuity,"reflections, memories, daily events","stories, narrative summaries, continuity signals",all domains
Relationship Agent,track and strengthen social ties,"interaction logs, visit patterns","tie-strength estimates, reconnection suggestions","family, colleagues, communities"
Wellbeing Agent,synthesize cross-domain wellbeing,"GRACE dimensions, trends, events","state summaries, risk signals",all domains
Spiritual Companion Agent,support reflection and spiritual grounding,"rituals, reflections, values","spiritual prompts, grounding support",spiritual self
Family Coordination Agent,coordinate communication and care continuity,"family contacts, calendars, events","visit plans, updates, reminders",family and friends
Work and Contribution Agent,identify contribution opportunities,"skills, roles, requests","mentoring matches, contribution prompts","colleagues, communities"
Community Connector Agent,support participation and local belonging,"local events, memberships, opportunities",engagement recommendations,communities
Service Access Agent,connect to services and institutions,"appointments, transport, benefits needs","service guidance, access support",wider world
Memory and Legacy Agent,preserve long-term story and artifacts,"stories, photos, milestones","archives, legacy packages","family, communities"
Ethics and Safety Agent,enforce safeguards and accountability,"consent rules, system actions, risk states","approvals, constraints, audit records",all domains
